brand,final_score
Vicki Tiel,0.8112252405383484
Versace,0.7166686053713803
Yves de Sistelle,0.6936881723960238
Giorgio Armani,0.667099017867827
Paloma Picasso,0.665481721388359
Cuba,0.6567501702787206
Daddy Yankee,0.6533356580183909
Gloria Vanderbilt,0.6526700374902986
Dolce&Gabbana,0.6506048966177655
Alfred Sung,0.6499041992718124
Ralph Lauren,0.6496880785845288
Katy Perry,0.6482493800673234
Parfums Grès,0.6450657130446122
Parfums Gres,0.6449509935689214
Baron,0.6442287127083783
Parfums,0.6439716254424159
Myrurgia,0.6433369237749275
J Lo,0.6431786373110802
Vera Wang,0.6423753676462074
Giorgio Beverly Hills,0.6419379591264187
Jacques Bogart,0.6413923184269914
Luxury,0.6408600098508842
GIORGIO BEVERLY HILLS,0.6402524648003234
Fred Hayman,0.6402361458270679
JLO,0.6387210605947113
Jil Sander,0.6374002966207739
Tous,0.6356662095755284
Rochas,0.6355840523260866
Perfumer's Workshop,0.6345507100100578
Lucky,0.634173617030305
Calvin Klein,0.6341626651560088
United Colors of Benetton,0.634046030938259
Cartier,0.6336627283702694
Lauren Ralph Lauren,0.6321339477868835
emper,0.6314999132428907
Paul Sebastian,0.6312410737308793
Emanuelle Ungaro,0.6280298084971758
GUESS,0.6258580438481611
Michel Germain,0.6247891580483507
True Religion,0.6235665072414557
Christian Audigier,0.6234938401640718
C.K,0.6213289833612563
Britney Spears,0.6208257208102601
Oscar de la Renta,0.6200248540800039
Armaf,0.6191606379843547
Juliette Has A Gun,0.6190532192237819
Cacharel,0.6186557421903524
Unbranded,0.616329466355045
Yves Saint Laurent,0.6162633298138269
Jaguar,0.6137288055876866
Evyan,0.6127333935069023
Hugo Boss,0.6089960722807246
Liz Claiborne,0.6057631054853831
J. Del Pozo,0.6049654120204786
Prince Matchabelli,0.6047741224876956
Perry Ellis,0.6046173446730322
Jessica McClintock,0.6044099869569682
Brut,0.604023400660557
Halston,0.6035916935671386
Jessica Simpson,0.5989997469561263
CURVE,0.5930937559171714
King,0.5917999387448433
Chloé,0.5915219674570126
Jovan,0.5894283242526133
ESCADA,0.5877285453463984
Kim Kardashian,0.5864075472731534
ALFRED SUNG,0.5846521917027149
Elizabeth Taylor,0.582485305834338
Lanvin,0.5819661964704405
Juicy Couture,0.5819236045043844
Boucheron,0.5809337897381696
Gianni Versace,0.5806453873107886
Jimmy Choo,0.5804804349806222
Banana Republic,0.5767406996419715
NIKOS,0.5749655613476548
Kenneth Cole,0.5740340313106064
Paco Rabanne,0.5734931900789283
Montblanc,0.5722314391186425
Afnan,0.5722293389485986
John Varvatos,0.5698879233947329
Michael Jordan,0.566900936249899
Lolita Lempicka,0.5657202143867625
Burberry,0.5641499515099123
HUGO BOSS,0.5622887111137052
Salvatore Ferragamo,0.5602133592814953
Vince Camuto,0.5602057253643224
Elizabeth Arden,0.5594851084278419
Azzaro,0.5589142106090769
Dolce & Gabbana,0.5587797145198575
Mont Blanc,0.5587422856352526
Issey Miyake,0.5583429824747692
Lapidus,0.5564141274365835
Lalique,0.555221453862342
Coach,0.5533190220087214
Lattafa,0.5522988437157913
Aquolina,0.551413059074578
Diesel,0.5498007102147484
Aramis,0.5454088115436195
Guy Laroche,0.5428469052704685
Reyane Tradition,0.5394969660960244
Hermes,0.5318283396132097
Nautica,0.5317004946526529
Carolina Herrera,0.5309077863853063
Donna Karan,0.5282692636394651
Givenchy,0.5237775270394526
Gucci,0.5237365777091707
Paris Hilton,0.5226608730478285
Ard Al Zaafaran,0.5156019688477815
Lancôme,0.5146491532563655
Bentley,0.5138610508142735
Ariana Grande,0.5137310647136314
Joop,0.5120696630363398
Ed Hardy,0.5111486660069946
Hollister,0.510715031247178
Dumont,0.508769047309817
PINK,0.5085589084325218
Karl Lagerfeld,0.5073506474714211
Kate Spade,0.5039115916729103
Tommy Hilfiger,0.5028126507160467
Victoria's Secret,0.5001973910120003
Benetton,0.4992712351365716
Davidoff,0.49891405291571916
Al Haramain,0.49857113468766834
Aeropostale,0.4977625949660141
Jennifer Lopez,0.49500374142761344
ISSEY MIYAKE,0.4944740196157043
Elie Saab,0.4907124853898943
MONT BLANC LEGEND,0.4903669877578197
MontBlanc,0.4900733735810874
Clinique,0.4891913594330386
MONTALE,0.48863440714500594
Ted Lapidus,0.48779565084532106
Dossier,0.48747650271594395
Coty,0.4868745967467216
Rasasi,0.485709926288458
Tommy Bahama,0.4850446300964112
Halloween,0.4833107543589177
Estée Lauder,0.4825234064333177
Fragrance World,0.48201963808146153
Clean,0.48106203210794884
Thierry Mugler,0.4792462885794133
Missoni,0.47889374441687416
Lacoste,0.47704016076319666
Armand Dupree Fuller,0.4762565463240369
HERMÈS,0.4762148972827833
Franck Olivier,0.47491112754936604
Moschino,0.4726505290561039
Pierre Cardin,0.47246894302008124
Grandeur,0.4711958645419875
Lomani,0.4679734499108142
Mancera,0.46731801896153635
Bharara,0.46712775056814365
Prada,0.4664614876218467
Maison Alhambra,0.4636285994894431
CHANGE For Women,0.4610737654727255
Jo Malone,0.4607824572938579
Urban Outfitters,0.45975910589935964
Glossier,0.4595861751137187
Ulric de Varens,0.45775270440096616
Viktor & Rolf,0.45741777352462354
Cologne,0.4563095575761437
Polo Ralph Lauren,0.4561388222134145
Hanae Mori,0.45423745951558114
Juliette Has a Gun,0.4508042759036607
PRADA,0.4505424202601157
Dana,0.4502152050957611
Chloe,0.4497718312179372
Adam Levine,0.4497372689483021
Elizabeth & James,0.4478342551548408
English Laundry,0.44702390931713953
Territoire,0.446894895472269
Marc Jacobs,0.4465594159153818
Parfums de Marly,0.446461456050604
Spiritual Sky,0.44556398324717383
Valentino,0.44525674288278033
Acqua di Parma,0.4439409672490269
Juliette has a gun,0.44175062291142586
Mandarin Duck,0.44163722086498214
VICTOR MANUELLE,0.4415781769968773
By Al Hambra,0.4411086784885636
Tru Fragrance,0.4406640671573743
Byredo,0.440368528575676
Mary Kay,0.4398089939159663
Hybrid & Company,0.4395769851055224
AERIN,0.43842178930416176
EBC,0.43829801180250266
Classic Brands,0.43745122736215447
Sean John,0.4373749662805491
Gap,0.43661963714998286
Sarah Jessica Parker,0.43659057300692394
SECERTMU,0.4354294090365388
Bvlgari,0.43473521326625786
Alexandria Fragrances,0.43464619397123294
Chaka by Chaka Khan,0.4345503315283262
Huda Beauty,0.43419728396917856
Elizabeth And James Nirvana,0.4341714250599339
Tom Ford,0.4341312723016662
Avon,0.4338011194277353
Clubman Pinaud,0.4327444918215451
MAISON ALHAMBRA,0.43236484458982116
Jean couturier,0.43210928176328933
Sisley,0.4311593624725141
Lattafa Perfumes,0.4306372256768598
Sol De Janeiro,0.43050698476361504
Estee Lauder,0.4301894327408713
SEE PHOTO,0.4298383033734098
Khadlaj,0.4297414390155102
Chanel,0.4295948615122329
Coty Inc.,0.429074792744663
Mercedes-Benz,0.4284377385280749
Philosophy,0.4282997961782618
CHRISTIAN DIOR,0.4279550525855166
Does not apply,0.42786394406466743
AS SHOWN,0.42727793505666445
Taylor Swift,0.4271619767767628
Chopard,0.42702173115915076
Guerlain,0.4269230697531162
BOD man,0.4267807213310699
adidas,0.426634234463031
Dior,0.4261523424735112
Ellis Brooklyn,0.42578108751890253
Abercrombie & Fitch,0.4252774423800372
David Beckham,0.4252544695164394
Sterling,0.4251122599481886
Generic,0.4248124793647339
Designer Series,0.4247948464620642
Giorgio² Armani,0.42405416694757575
As Show,0.42403863971090544
Narciso Rodriguez,0.42385833290162694
Old Spice,0.4232531326249406
Kate Spade New York,0.4230625718622567
Mercedes Benz,0.4215893787510287
Kenneth Cole Reaction,0.42125042052309314
Multiple Brands,0.4211502481772582
As shown,0.4210245526426314
BRUT,0.42022186674389317
Tiziana Terenzi,0.4199748500346556
Clive Christian,0.419496234061955
